player,stat,mu,sigma
Trae Young,PTS,24.80,5.65
Trae Young,REB,2.60,1.36
Trae Young,AST,12.70,2.76
Trae Young,PRA,40.10,6.62
Dejounte Murray,PTS,20.00,8.32
Dejounte Murray,REB,7.00,1.73
Dejounte Murray,AST,6.60,2.62
Dejounte Murray,PRA,33.60,11.16
Jayson Tatum,PTS,24.20,5.25
Jayson Tatum,REB,8.00,2.68
Jayson Tatum,AST,6.90,1.97
Jayson Tatum,PRA,39.10,6.35
Jaylen Brown,PTS,16.70,8.38
Jaylen Brown,REB,4.70,2.37
Jaylen Brown,AST,3.40,1.96
Jaylen Brown,PRA,24.80,10.82
Jrue Holiday,PTS,11.50,6.14
Jrue Holiday,REB,4.20,2.18
Jrue Holiday,AST,4.50,1.86
Jrue Holiday,PRA,20.20,8.75
Mikal Bridges,PTS,16.60,7.89
Mikal Bridges,REB,2.60,1.50
Mikal Bridges,AST,4.70,2.19
Mikal Bridges,PRA,23.90,10.39
Cam Thomas,PTS,23.60,4.88
Cam Thomas,REB,3.30,2.10
Cam Thomas,AST,4.40,2.76
Cam Thomas,PRA,31.30,7.03
LaMelo Ball,PTS,21.70,5.27
LaMelo Ball,REB,4.20,3.06
LaMelo Ball,AST,8.70,2.72
LaMelo Ball,PRA,34.60,7.68
Miles Bridges,PTS,16.70,5.35
Miles Bridges,REB,5.80,3.19
Miles Bridges,AST,3.90,1.97
Miles Bridges,PRA,26.40,7.72
DeMar DeRozan,PTS,23.50,7.76
DeMar DeRozan,REB,3.50,1.69
DeMar DeRozan,AST,5.60,2.87
DeMar DeRozan,PRA,32.60,9.20
Zach LaVine,PTS,25.10,9.32
Zach LaVine,REB,3.00,2.76
Zach LaVine,AST,3.30,2.90
Zach LaVine,PRA,31.40,10.37
Donovan Mitchell,PTS,22.60,7.80
Donovan Mitchell,REB,5.60,2.58
Donovan Mitchell,AST,6.40,3.41
Donovan Mitchell,PRA,34.60,9.71
Darius Garland,PTS,18.80,6.57
Darius Garland,REB,3.80,1.54
Darius Garland,AST,7.20,2.36
Darius Garland,PRA,29.80,6.94
Evan Mobley,PTS,17.00,4.90
Evan Mobley,REB,9.50,2.77
Evan Mobley,AST,4.00,1.55
Evan Mobley,PRA,30.50,7.51
Kyrie Irving,PTS,25.40,10.57
Kyrie Irving,REB,5.00,2.79
Kyrie Irving,AST,3.80,1.99
Kyrie Irving,PRA,34.20,12.38
Jamal Murray,PTS,22.10,9.18
Jamal Murray,REB,4.80,0.98
